,Pclass,Sex,SibSp,log(Fare),Predicted Survived
0,3,0,0,2.0578603336462318,0
1,3,1,1,1.9459101490553132,0
2,2,0,0,2.270836394679465,0
3,3,0,0,2.1590033645160216,0
4,3,1,1,2.5085824854732848,0
5,3,0,0,2.221917189926591,0
6,3,1,0,2.0319829905201345,1
7,2,0,1,3.367295829986474,0
8,3,1,0,1.9781283799793465,1
9,3,0,2,3.184284380098582,0
10,3,0,0,2.0663309725297405,0
11,1,0,0,3.258096538021482,1
12,1,1,1,4.409966408549427,1
13,2,0,1,3.258096538021482,0
14,1,1,1,4.113738609328736,1
15,2,1,1,3.32218303393412,1
16,2,0,0,2.513656063073986,0
17,3,0,0,1.9775472339984959,0
18,3,1,1,2.0700223197633445,0
19,3,1,0,1.9775472339984959,1
20,1,0,1,4.084294226368599,0
21,3,0,0,1.1539839219808636,0
22,1,1,0,3.4557897281879213,1
23,1,0,0,4.117071015545232,0
24,1,1,1,5.569774778140797,1
25,3,0,1,2.6741486494265287,0
26,1,1,0,4.126798844886821,1
27,3,0,0,1.9775472339984959,0
28,1,0,0,3.417726683613366,1
29,3,0,2,3.0763532755216065,0
30,2,0,1,3.258096538021482,0
31,2,0,2,3.449987545831587,0
32,3,1,1,3.0240767465631335,1
33,3,1,1,3.1548704948922883,0
34,1,0,1,4.056123349401903,1
35,3,0,0,1.9781283799793465,0
36,3,1,0,2.0856720914304723,0
37,3,1,0,2.1590033645160216,0
38,3,0,0,2.2512917986064953,0
39,3,0,0,4.034166299106131,0
40,3,0,0,2.5965001996654262,0
41,1,0,0,3.279029747687948,1
42,3,0,0,2.060513531794317,0
43,2,1,0,2.5649493574615367,1
44,1,1,1,3.961845018011234,1
45,3,0,0,2.0700223197633445,0
46,1,0,0,3.391147045808654,1
47,3,0,0,2.0476928433652555,0
48,1,1,0,4.334564151246186,1
49,3,1,0,2.766319109226186,0
50,1,0,1,4.0943445622221,0
51,2,0,0,2.7102677405431645,0
52,2,1,2,3.1354942159291497,1
53,1,1,3,5.572154032177765,1
54,2,0,0,2.745936691242355,0
55,3,0,4,3.371596911885865,0
56,3,0,0,2.0663309725297405,0
58,3,0,1,2.7788192719904172,1
59,1,1,0,5.569774778140797,1
60,3,0,0,2.0663309725297405,0
61,2,0,0,2.6026896854443837,0
62,3,0,0,2.0476928433652555,0
63,3,1,0,2.044461822783809,1
64,1,0,2,5.569774778140797,1
65,2,1,0,3.044522437723423,1
66,3,1,0,2.0642263758733557,1
67,1,0,0,3.7471483622379123,0
68,1,0,0,3.351219011855914,0
69,1,1,1,5.572154032177765,1
70,3,1,0,2.0476928433652555,1
71,3,0,0,2.0663309725297405,0
72,3,1,0,2.0700223197633445,0
73,1,0,0,3.32218303393412,0
74,1,1,0,5.354224998486333,1
75,1,0,0,5.354224998486333,0
76,3,0,0,2.0856720914304723,0
77,1,1,2,3.246490991901174,1
78,2,0,0,2.5649493574615367,0
79,3,1,0,2.0476928433652555,1
80,3,0,1,2.7243040552851014,0
81,1,0,1,5.401682292340279,1
82,1,0,0,3.258096538021482,1
83,3,0,0,2.0663309725297405,0
84,2,0,0,2.371019141701962,0
85,3,0,1,2.6709850297651974,0
86,3,1,0,2.0642263758733557,1
87,3,1,0,2.0856720914304723,0
88,3,1,0,2.0476928433652555,1
89,2,0,1,3.1354942159291497,0
90,3,1,1,2.631888840136646,0
91,3,0,0,2.0509134580652977,0
92,1,1,1,3.9512437185814275,1
93,3,0,0,2.0856720914304723,0
94,1,0,0,3.258096538021482,1
95,3,0,0,2.0535851271346086,0
96,1,1,1,4.367547313409047,1
97,3,0,0,2.0700223197633445,0
98,3,1,0,2.061048420562944,1
99,3,0,0,2.0856720914304723,0
100,1,1,1,4.015332018192187,1
101,2,0,1,3.258096538021482,0
102,3,0,0,2.0476928433652555,0
103,3,0,0,2.0509134580652977,0
104,3,1,1,2.1420289418682694,0
105,3,0,0,3.1146258034944014,0
106,3,0,0,2.05678685111503,0
107,3,0,0,2.0476928433652555,0
108,3,0,0,2.1647587760866425,0
109,2,0,0,2.5649493574615367,0
110,2,0,0,2.711098882480229,0
111,3,1,0,2.0514535051396674,0
112,1,1,0,3.455660314102122,1
113,3,1,0,1.9855840562039775,1
114,1,1,1,5.401682292340279,1
115,3,0,1,2.6709850297651974,0
116,3,0,0,1.8621402659898545,0
117,3,1,1,2.8154087194227095,1
118,1,0,0,4.32070559854228,0
119,2,1,1,3.258096538021482,1
120,2,1,0,2.7568403652716422,1
121,3,0,1,2.0476928433652555,0
122,1,1,1,4.056123349401903,1
123,3,0,0,1.9810014688665833,0
124,3,0,0,2.0476928433652555,0
125,3,1,0,2.7788192719904172,0
126,3,0,0,2.0535851271346086,0
127,3,1,2,3.1463051320333655,1
128,2,0,0,2.5649493574615367,0
129,3,0,0,2.0856720914304723,0
130,3,0,0,2.0856720914304723,0
131,1,0,0,3.349904087274605,0
132,3,1,0,3.237371716404032,0
133,3,0,1,1.8621402659898545,0
134,3,0,0,2.0663309725297405,0
135,3,0,0,2.061048420562944,0
136,3,0,0,1.9775472339984959,0
137,2,0,0,2.5649493574615367,0
138,3,1,0,2.0856720914304723,0
139,3,0,1,3.8480176754522337,0
140,3,1,5,3.8480176754522337,0
141,1,1,0,5.020915603503812,1
142,1,0,1,5.569774778140797,1
143,2,0,0,3.258096538021482,0
144,1,0,0,3.279029747687948,1
145,3,0,3,2.8903717578961645,0
146,1,0,0,3.948595985658986,0
147,3,0,0,2.0856720914304723,0
148,1,0,0,3.279029747687948,1
149,2,0,1,3.258096538021482,0
150,1,1,0,4.4207460202604185,1
151,3,0,0,2.0663309725297405,0
153,3,1,0,2.500066161545823,1
154,3,0,4,3.4464097244837033,0
155,3,0,0,2.0215475632609334,0
156,1,1,0,5.401682292340279,1
157,3,1,0,2.061048420562944,1
158,1,0,0,3.279029747687948,1
159,3,1,0,2.622855355038978,0
160,3,1,0,2.0455356796500372,1
161,3,0,1,2.7243040552851014,0
162,2,1,0,2.6026896854443837,1
163,3,0,0,1.9459101490553132,0
164,2,0,0,2.5649493574615367,0
165,3,1,1,3.092178171822243,1
166,1,0,0,3.921890164505806,0
167,3,0,2,3.5373295559867355,0
168,1,1,0,3.32218303393412,1
169,3,1,0,2.193049205925739,0
170,3,0,0,2.0215475632609334,0
171,3,0,0,1.9775472339984959,0
172,3,0,1,2.631888840136646,0
173,3,0,0,1.9781283799793465,0
174,3,0,1,3.4464097244837033,0
175,2,1,0,3.6635616461296463,1
176,2,1,0,3.6041382256588457,1
177,1,0,1,4.015332018192187,1
178,2,1,0,3.6635616461296463,1
179,1,1,0,4.4207460202604185,1
180,2,0,0,2.5649493574615367,0
181,1,0,1,4.4207460202604185,1
182,1,1,1,3.9721769282478934,1
183,3,0,0,2.0476928433652555,0
184,1,1,1,5.5114946188815885,1
185,2,0,0,2.772588722239781,0
186,2,1,0,3.044522437723423,1
187,3,0,2,2.0856720914304723,0
188,3,1,8,4.242045918369452,0
189,2,0,0,2.5649493574615367,0
190,2,0,1,3.258096538021482,0
191,1,0,0,3.258096538021482,1
192,3,0,1,2.6741486494265287,0
